"","County","County.Code","Delivery.Method","Delivery.Method.Code","Births","Longitude","Latitude"
"519","Norfolk County MA",25021,"Cesarean",2,2377,-71.1448516,42.17668
"520","Norfolk County MA",25021,"Not Stated",9,42,-71.1448516,42.17668
"521","Plymouth County MA",25023,"Vaginal",1,3246,-70.7168469,41.9120406
"522","Plymouth County MA",25023,"Cesarean",2,1819,-70.7168469,41.9120406
"523","Plymouth County MA",25023,"Not Stated",9,15,-70.7168469,41.9120406
"524","Suffolk County MA",25025,"Vaginal",1,6792,-71.0504229,42.3522866
"525","Suffolk County MA",25025,"Cesarean",2,2585,-71.0504229,42.3522866
"526","Suffolk County MA",25025,"Not Stated",9,63,-71.0504229,42.3522866
"527","Worcester County MA",25027,"Vaginal",1,6010,-71.8571331,42.4096528
"528","Worcester County MA",25027,"Cesarean",2,2530,-71.8571331,42.4096528
"529","Worcester County MA",25027,"Not Stated",9,32,-71.8571331,42.4096528
"530","Unidentified Counties MA",25999,"Vaginal",1,623,-71.3824374,42.4072107
"531","Unidentified Counties MA",25999,"Cesarean",2,248,-71.3824374,42.4072107
"532","Unidentified Counties MA",25999,"Not Stated",9,10,-71.3824374,42.4072107
"533","Allegan County MI",26005,"Vaginal",1,872,-85.9084434,42.5938744
"534","Allegan County MI",26005,"Cesarean",2,427,-85.9084434,42.5938744
"535","Bay County MI",26017,"Vaginal",1,721,-84.0167423,43.7109732
"536","Bay County MI",26017,"Cesarean",2,321,-84.0167423,43.7109732
"537","Berrien County MI",26021,"Vaginal",1,1277,-86.7416374,42.0320742
"538","Berrien County MI",26021,"Cesarean",2,588,-86.7416374,42.0320742
"539","Calhoun County MI",26025,"Vaginal",1,1189,-85.023346,42.2073905
"540","Calhoun County MI",26025,"Cesarean",2,507,-85.023346,42.2073905
"541","Eaton County MI",26045,"Vaginal",1,745,-84.7733325,42.5886496
"542","Eaton County MI",26045,"Cesarean",2,379,-84.7733325,42.5886496
"543","Genesee County MI",26049,"Vaginal",1,3039,-83.6773928,43.0777289
"544","Genesee County MI",26049,"Cesarean",2,1981,-83.6773928,43.0777289
"545","Ingham County MI",26065,"Vaginal",1,2241,-84.3542049,42.6468943
"546","Ingham County MI",26065,"Cesarean",2,1030,-84.3542049,42.6468943
"547","Jackson County MI",26075,"Vaginal",1,1247,-84.3542049,42.1764362
"548","Jackson County MI",26075,"Cesarean",2,476,-84.3542049,42.1764362
"549","Kalamazoo County MI",26077,"Vaginal",1,2136,-85.520024,42.2278346
"550","Kalamazoo County MI",26077,"Cesarean",2,1030,-85.520024,42.2278346
"551","Kent County MI",26081,"Vaginal",1,6088,-85.520024,43.0097027
"552","Kent County MI",26081,"Cesarean",2,2763,-85.520024,43.0097027
"553","Livingston County MI",26093,"Vaginal",1,1123,-83.8473015,42.6207951
"554","Livingston County MI",26093,"Cesarean",2,551,-83.8473015,42.6207951
"555","Macomb County MI",26099,"Vaginal",1,5906,-82.820974,42.7168759
"556","Macomb County MI",26099,"Cesarean",2,3471,-82.820974,42.7168759
"557","Monroe County MI",26115,"Vaginal",1,996,-83.5070203,41.9738893
"558","Monroe County MI",26115,"Cesarean",2,515,-83.5070203,41.9738893
"559","Muskegon County MI",26121,"Vaginal",1,1387,-86.1261056,43.294941
"560","Muskegon County MI",26121,"Cesarean",2,741,-86.1261056,43.294941
"561","Oakland County MI",26125,"Vaginal",1,9161,-83.336188,42.5921924
"562","Oakland County MI",26125,"Cesarean",2,4325,-83.336188,42.5921924
"563","Ottawa County MI",26139,"Vaginal",1,2293,-86.0937312,42.953023
"564","Ottawa County MI",26139,"Cesarean",2,1070,-86.0937312,42.953023
"565","Saginaw County MI",26145,"Vaginal",1,1530,-84.0167423,43.4044253
"566","Saginaw County MI",26145,"Cesarean",2,748,-84.0167423,43.4044253
"567","St. Clair County MI",26147,"Vaginal",1,1030,-82.6483442,43.016179
"568","St. Clair County MI",26147,"Cesarean",2,517,-82.6483442,43.016179
"569","Washtenaw County MI",26161,"Vaginal",1,2583,-83.8473015,42.3076493
"570","Washtenaw County MI",26161,"Cesarean",2,1070,-83.8473015,42.3076493
"571","Wayne County MI",26163,"Vaginal",1,16358,-83.336188,42.2790746
"572","Wayne County MI",26163,"Cesarean",2,7243,-83.336188,42.2790746
"573","Unidentified Counties MI",26999,"Vaginal",1,14589,-85.6023643,44.3148443
"574","Unidentified Counties MI",26999,"Cesarean",2,7198,-85.6023643,44.3148443
"575","Anoka County MN",27003,"Vaginal",1,3084,-93.2197005,45.3292832
"576","Anoka County MN",27003,"Cesarean",2,1131,-93.2197005,45.3292832
"577","Dakota County MN",27037,"Vaginal",1,3696,-93.1779659,44.731554
"578","Dakota County MN",27037,"Cesarean",2,1448,-93.1779659,44.731554
"579","Hennepin County MN",27053,"Vaginal",1,12356,-93.5094574,45.0208911
"580","Hennepin County MN",27053,"Cesarean",2,4227,-93.5094574,45.0208911
"581","Hennepin County MN",27053,"Not Stated",9,10,-93.5094574,45.0208911
"582","Olmsted County MN",27109,"Vaginal",1,1623,-92.3813621,43.995179
"583","Olmsted County MN",27109,"Cesarean",2,541,-92.3813621,43.995179
"584","Ramsey County MN",27123,"Vaginal",1,5979,-93.0615978,44.9963986
"585","Ramsey County MN",27123,"Cesarean",2,1851,-93.0615978,44.9963986
"586","St. Louis County MN",27137,"Vaginal",1,1453,-92.3623921,47.7395106
"587","St. Louis County MN",27137,"Cesarean",2,568,-92.3623921,47.7395106
"588","Stearns County MN",27145,"Vaginal",1,1483,-94.5865603,45.5844792
"589","Stearns County MN",27145,"Cesarean",2,525,-94.5865603,45.5844792
"590","Washington County MN",27163,"Vaginal",1,2055,-92.8577105,44.8896877
"591","Washington County MN",27163,"Cesarean",2,793,-92.8577105,44.8896877
"592","Unidentified Counties MN",27999,"Vaginal",1,18829,-94.6858998,46.729553
"593","Unidentified Counties MN",27999,"Cesarean",2,7485,-94.6858998,46.729553
"594","DeSoto County MS",28033,"Vaginal",1,1268,-89.9626799,34.9065453
"595","DeSoto County MS",28033,"Cesarean",2,772,-89.9626799,34.9065453
"596","Harrison County MS",28047,"Vaginal",1,1860,-89.0179332,30.432087
"597","Harrison County MS",28047,"Cesarean",2,871,-89.0179332,30.432087
"598","Hinds County MS",28049,"Vaginal",1,1882,-90.3748354,32.2648353
"599","Hinds County MS",28049,"Cesarean",2,1445,-90.3748354,32.2648353
"600","Jackson County MS",28059,"Vaginal",1,1047,-88.556531,30.4278212
"601","Jackson County MS",28059,"Cesarean",2,567,-88.556531,30.4278212
"602","Rankin County MS",28121,"Vaginal",1,1017,-89.9253233,32.2653668
"603","Rankin County MS",28121,"Cesarean",2,896,-89.9253233,32.2653668
"606","Boone County MO",29019,"Vaginal",1,1420,-92.3813621,39.0468547
"607","Boone County MO",29019,"Cesarean",2,746,-92.3813621,39.0468547
"608","Clay County MO",29047,"Vaginal",1,2127,-94.479976,39.3176186
"609","Clay County MO",29047,"Cesarean",2,905,-94.479976,39.3176186
"610","Greene County MO",29077,"Vaginal",1,2472,-93.5003454,37.3311215
"611","Greene County MO",29077,"Cesarean",2,994,-93.5003454,37.3311215
"612","Greene County MO",29077,"Not Stated",9,40,-93.5003454,37.3311215
"613","Jackson County MO",29095,"Vaginal",1,6841,-94.315422,38.9914998
"614","Jackson County MO",29095,"Cesarean",2,2635,-94.315422,38.9914998
"615","Jackson County MO",29095,"Not Stated",9,15,-94.315422,38.9914998
"616","Jasper County MO",29097,"Vaginal",1,1170,-94.356513,37.1745565
